name,minplayers,minplaytime,maxplaytime,minage,average,avgweight
Clank! In! Space!,2,45,90,12,7.8803899999999985,2.5
Chaos in the Old World,3,60,120,13,7.671639999999999,3.1823
Decrypto,3,15,45,12,7.80921,1.813
Railways of the World,2,120,120,10,7.68907,3.024
Chronicles of Crime,1,60,90,14,7.91598,2.1022
Ora et Labora,1,60,180,13,7.70562,3.9043
Commands and Colors  Ancients,2,60,60,12,7.77981,2.6961
Dinosaur Island,1,90,120,8,7.79778,2.9841
Endeavor  Age of Sail,2,60,90,13,8.08502,2.8015
Suburbia,1,90,90,8,7.54926,2.7721
The Lord of the Rings  The Card Game,1,30,60,13,7.63572,3.1583
Santorini,2,20,20,8,7.57212,1.7361
Jaipur,2,30,30,12,7.51641,1.5049
Hansa Teutonica,2,45,90,12,7.643910000000001,3.125
Nations,1,40,200,14,7.66073,3.5345
Age of Steam  Deluxe Edition,1,120,120,13,7.72871,3.9198
Vinhos Deluxe Edition,1,60,135,14,8.22361,4.0722
Memoir '44,2,30,60,8,7.55646,2.2752
Paths of Glory,2,480,480,14,8.041260000000001,3.827
\u6b61\u8fce\u4f86\u5230,1,25,25,10,7.652539999999999,1.8333
Codenames  Duet,2,15,30,11,7.64928,1.3353
Cosmic Encounter  42nd Anniversary Edition,3,60,120,12,7.54488,2.5715
Captain Sonar,2,45,60,14,7.6033300000000015,2.126
Arcadia Quest,2,60,60,13,7.77327,2.5316
Combat Commander  Europe,2,60,180,12,7.926139999999998,3.2318
Near and Far,2,90,120,13,7.86953,2.8279
Trickerion  Legends of Illusion,2,60,180,14,7.87665,4.17
Village,2,60,90,12,7.53635,3.0739
Targi,2,60,60,12,7.62305,2.3503
The Lord of the Rings  Journeys in Middle-earth,1,60,120,14,8.14029,2.4765
This War of Mine  The Board Game,1,45,120,18,7.887289999999999,3.1653
Ticket to Ride  Nordic Countries,2,30,60,8,7.641389999999999,1.9793
Sagrada,1,30,45,14,7.5465300000000015,1.9114
Xia  Legends of a Drift System,3,60,180,12,7.85838,3.1444
Sekigahara  The Unification of Japan,2,180,180,14,8.062000000000001,2.7616
That's Pretty Clever,1,30,30,8,7.65216,1.9171
\u062c\u0648\u0627\u0647\u0631\u064a,2,30,30,10,7.464860000000002,1.8062
Goa  A New Expedition,2,90,90,12,7.5956800000000015,3.3784
Tichu,4,60,60,10,7.584289999999998,2.3401
Detective  A Modern Crime Board Game,1,120,180,16,8.0414,2.7172
