name,minplayers,minplaytime,maxplaytime,minage,average,avgweight
\u63a8\u7ffb\u8607\u4e39,5,60,60,12,6.33746,1.7826
Zombicide  Dark Side,1,60,60,14,8.27778,2.0
Ca\u00e7adores da Gal\u00e1xia,2,180,180,14,7.69538,3.0
The Scarlet Pimpernel,2,60,90,12,7.15992,2.6
1918  Storm in the West,2,240,240,12,6.77585,2.76
DruidenWalzer,2,45,45,12,5.9169,2.3636
Birds of Prey  Air Combat in the Jet Age,2,120,480,14,7.61429,4.4898
Travel Pass the Bomb,2,20,20,12,5.82521,1.32
Mini Meteor,1,15,15,12,6.1534900000000015,1.8889
\u5629\u5566\u5566\u771f\u75db\u5feb,2,10,20,6,6.26271,1.0
Kings Cribbage,2,30,30,12,6.50815,1.7826
Cypher,2,10,25,14,5.95885,1.4815
Flashpoint  Golan,2,360,360,12,7.22819,3.7917
John Prados' Third Reich,2,360,360,12,6.43601,4.0196
Magnum Opus,2,60,60,12,7.00168,2.5833
Uruk II  Die Entwicklung geht weiter,2,30,30,12,6.6677300000000015,2.6429
Alicematic \u82f1\u5091\u4f1d,3,60,80,12,7.06871,2.6667
Pixel Glory,2,25,25,14,6.67402,1.8947
Somme 1918,2,240,240,14,7.9847100000000015,3.5833
Pala,3,30,30,11,6.75714,2.2
Mafia City,3,60,60,12,6.78227,2.5
Harpoon 4,2,150,150,12,7.32194,4.3704
Meltwater  A Game of Tactical Starvation,2,60,60,0,7.769589999999999,2.4
Naval Battles,2,30,30,10,5.92946,1.8655
Push Fight,2,5,15,6,7.44793,2.8333
Risk  Metal Gear Solid Limited Edition,3,120,120,10,7.08832,2.3529
Robin von Locksley,2,30,45,10,7.2252399999999986,1.8333
Four Tribes,2,30,30,8,7.164339999999998,1.9
Limits,2,45,45,8,5.98639,1.1379
Chabyrinthe,2,15,15,6,6.09063,1.3125
The First World War,2,90,90,12,6.11639,2.3291
Justice League  Hero Dice \u2013 Batman,1,15,15,10,6.45045,1.7143
Fiji,2,30,30,10,5.858,1.767
Chez Goth,2,60,60,14,5.98611,1.4286
La Bataille d'Orthez,1,180,180,12,7.79048,3.8235
1914  Offensive \u00e0 outrance,2,17280,17280,0,7.99896,3.9231
Z War One  Damnation,1,40,120,15,7.926189999999999,2.8
Ancestree,2,20,20,8,6.4161199999999985,2.0
Party Alias,4,30,30,11,6.23905,1.2917
Copenhagen  Roll & Write,2,20,40,8,6.928,1.5
Nut So Fast,3,15,20,8,6.87067,1.0
Magic  The Gathering \u2013 Heroes of Dominaria Board Game,2,45,75,14,6.76265,2.2
Wander  The Cult of Barnacle Bay,1,45,120,12,8.10543,2.3333
Time Arena,2,3,10,10,6.95222,2.125
No Better Place to Die,2,360,360,0,7.180560000000002,3.1905
Shadows over the Empire,2,30,30,12,5.99174,2.8444
Anima  Beyond Good and Evil,2,60,60,0,6.21366,2.3103
Zombies!!!  PG Edition,2,60,90,15,5.8183,1.6196
Witchcraft,2,30,30,0,6.37391,2.8333
Prowler's Passage,2,25,25,12,6.939489999999998,2.0
Singapore,3,90,90,12,6.14544,2.6
Alexander the Great,2,75,75,10,6.05401,2.7237
Spies!,2,180,180,12,6.3303699999999985,2.45
Kasserine  Rommel's Battle for Tunisia,1,120,120,12,7.088889999999999,3.4333
Intruder,1,30,30,10,6.54577,1.8857
Dirtside II,2,120,120,12,7.1833300000000015,2.9677
Totemo,2,30,30,6,6.6908,1.5833
Microworld,2,15,20,10,6.52002,2.2
Romans Go Home!,1,15,15,13,6.02326,1.2609
Swinging Jivecat Voodoo Lounge,2,60,60,21,6.5444900000000015,2.625
1500 m,3,40,80,12,7.20794,2.3333
Landships! Tactical Weapons Innovations 1914-1918,2,120,120,12,6.751589999999998,3.16
AttrAction,2,10,10,14,6.31986,1.1667
Choice,1,30,30,10,6.30321,1.4
Fuji Koro,1,60,120,12,7.29345,3.0
Paris  New Eden,2,45,45,10,6.70408,2.3636
Bloom,2,60,60,8,6.4455300000000015,2.2
War Without Mercy,2,360,360,12,7.0560800000000015,3.56
Legends of the Old West,2,45,45,12,7.25754,2.5833
Cauldron,2,60,90,11,7.0526800000000005,2.4737
Visionary,4,60,60,8,6.49147,1.2692
Typhoon!,1,360,360,0,7.41208,4.1304
Bangkok Klongs,2,60,60,10,6.27286,2.3448
Eat Me,3,10,10,6,6.02971,1.0357
Cartagena  Die Meuterei,2,45,45,10,6.4788,2.1875
Papillon,2,30,45,14,7.05232,2.1667
U.S. Telegraph,2,45,60,10,6.86981,1.625
Schatz der Drachen,2,20,20,5,6.60456,1.2222
True Colors,3,30,30,18,6.07796,1.1579
The Squirrel Mania,2,10,15,5,6.79257,1.0
18GL,2,300,300,14,7.51289,4.1818
Worm Up!,3,15,20,7,5.85191,1.1
Snow White and the Seven Dwarfs  A Gemstone Mining Game,3,45,60,8,7.1539199999999985,1.25
Tales & Games  The Pied Piper,2,20,20,8,6.37717,1.4286
Moscow '41,2,60,120,14,8.07805,2.75
Suspicion,2,60,60,10,6.21178,1.9
Get Lucky,2,20,20,12,6.01951,1.5938
High Noon Saloon,2,45,45,10,6.31643,1.625
Entrapment,2,30,30,12,7.98013,3.125
The Lord of the Rings  Combat Hex Tradeable Miniatures Game,2,60,60,13,6.49113,2.4054
Siesta,2,60,60,8,6.2876699999999985,2.52
Continental Express,2,20,20,8,6.0488800000000005,1.2432
Pillars of Eternity  Lords of the Eastern Reach,1,60,120,13,6.55632,2.375
Dilbert  Corporate Shuffle,4,15,15,10,5.96965,1.3167
Legions of Darkness,1,30,30,10,6.84082,2.1053
Red White & Blue Racin' Stock Car Action Game,1,45,45,0,8.4962,1.8571
Replay Baseball,1,30,30,8,7.9601,2.5
Raiders of the Deep  U-boats of the Great War,1,120,120,12,8.64148,3.375
The Sheep Race,2,45,45,10,6.552969999999998,1.5333
Justice League  Hero Dice \u2013 Superman,1,15,25,10,6.54202,1.375
Columba,2,30,30,8,7.004569999999998,2.25
Fleet Commander  Nimitz,1,180,180,0,6.8451,2.5789
Phalanxx,1,60,60,12,6.927739999999999,2.4286
Wings of Glory  WW2 Rules and Accessories Pack,2,45,45,8,7.70047,2.5
Ilium,2,35,35,8,6.18166,2.125
Steam Torpedo  First Contact,2,40,40,13,6.22248,2.45
Revolution of 1828,2,30,60,12,6.63299,1.8571
Anno 1701  Das Kartenspiel,2,60,60,10,6.344130000000002,2.2059
Warhammer Ancient Battles 2.0,2,120,120,14,6.68357,3.5417
Wind River,3,60,60,12,6.528569999999998,2.16
Panzer (first edition),2,120,120,12,7.2276,3.75
Heul doch! Mau Mau,3,15,25,8,6.76013,1.3333
Pocket Invaders,2,10,20,8,6.66701,2.2857
Burger Joint,2,30,30,10,6.0376,1.871
Word Trio,3,45,45,12,5.96677,1.1429
This Guilty Land,2,45,45,0,7.57375,3.3333
Cape Horn,3,45,45,12,6.00406,2.0227
Kharkov,1,240,240,12,6.63397,2.5758
Cult  Choose Your God Wisely,2,45,90,12,7.26135,3.0
Karelia '44,1,150,450,0,7.310739999999999,2.7143
Crown of Roses,2,300,300,0,6.56372,3.8837
Ramparts,2,45,45,12,6.24518,2.3429
Saga of the Northmen,2,30,40,12,7.28787,2.5
Dungeon of Mandom VIII,2,30,30,13,6.91175,1.5
Islas Canarias,2,45,45,0,6.35353,2.0938
Foodies,2,20,30,14,6.59099,1.75
Pangea,1,60,90,14,7.74567,3.1818
Two by Two,2,45,45,8,6.03537,1.5217
Atlanta Is Ours,1,0,0,0,8.83571,3.8
KLASK 4,4,10,10,8,7.52106,0.0
\u3054\u3044\u305f,3,30,30,0,6.913989999999999,1.6667
Donner Dinner Party,4,30,60,12,6.4402,1.1667
Doodle Rush,3,10,15,10,6.61459,1.3333
Epic Dungeoneer  Call of the Lich Lord,2,60,60,12,6.3083800000000005,2.5385
Force on Force,2,60,60,14,7.33983,3.0625
Dwellings of Eldervale,1,60,150,14,8.55378,3.375
Futuropia,1,90,90,12,6.33384,2.6667
KINMO,2,5,25,10,7.559439999999999,1.1667
Jeju Island,2,30,30,7,6.52819,1.2
Simply Cosmic,2,45,45,10,6.4581800000000005,2.7647
Red Dragon Rising  The Coming War With China,1,180,180,0,7.19221,2.8889
Porto Carthago,3,90,90,12,6.4116,3.1034
April's Harvest  The Battle of Shiloh,2,240,240,12,7.074139999999999,3.3929
War of Honor,2,60,60,12,6.65602,3.3529
DragonFlame,2,30,30,13,6.62418,1.8
Manitoba,2,60,75,12,6.47106,2.5833
Ghostbusters  Protect the Barrier Game,2,30,30,8,6.62212,1.75
Terminator Genisys  Rise of the Resistance,1,90,120,14,8.368269999999999,2.5
Pocket Landship,1,15,45,10,7.864039999999998,2.0
The Emperor Returns,1,240,240,12,7.07937,3.125
Heroes Of The World,2,75,75,10,6.38992,2.1613
The Shores of Tripoli,1,45,60,12,8.25259,2.2308
New Rules for Classic Games,0,20,300,10,7.491410000000001,2.0
Barragoon,2,20,120,8,7.236289999999999,2.7143
Barcelona  The Rose of Fire,2,70,90,10,6.53719,3.0
Minotaur Lords,2,30,30,12,5.9400900000000005,2.0811
Operation F.A.U.S.T.,3,30,30,13,6.27848,1.85
Spectral Rails,3,60,60,12,6.37103,2.5
Mare Balticum,3,30,30,6,6.30537,1.7273
Cahoots,3,20,40,12,6.5203,1.1667
Lost Legacy  Hyakunen Senso to Ryu no Miko,2,10,10,10,7.18975,1.1429
Hunting Party,2,90,90,13,6.19369,2.4444
Los Mampfos,2,20,20,6,6.15007,1.2368
Dungeons & Dragons Miniatures Game (second edition),2,60,60,12,6.68447,2.4545
Canalis,2,45,45,12,6.33191,2.75
Slither,2,40,40,10,7.99188,3.5714
Tofu Kingdom,3,10,30,10,6.3037,1.7143
Harpoon (1st & 3rd edition),2,180,180,12,6.36476,3.9828
Dead Man's Hand,2,45,45,11,7.93372,2.2
Zauberschwert & Drachenei,2,45,45,12,6.0877300000000005,1.9444
Field of Glory  Ancient and Medieval Wargaming Rules,2,180,180,0,6.69239,3.7407
Ancients,2,60,60,12,6.7221199999999985,1.9667
Funkoverse Strategy Game  Harry Potter 4-Pack,2,20,60,10,7.2805300000000015,2.3333
Panzer General  Allied Assault,1,60,60,10,6.3945,2.449
Stratego Waterloo,2,45,120,12,7.56875,2.6667
Don't Tread On Me  The American Revolution Solitaire Board Game,1,240,240,12,7.72128,2.625
Ancient Battles Deluxe,2,60,60,0,7.0347300000000015,1.8667
Panzerkrieg,2,240,240,14,6.4118900000000005,3.2222
Akaba,2,20,20,5,6.35061,1.2308
Mega Man Pixel Tactics  Proto Man Red,2,20,45,10,7.37063,2.0
Shadow Throne,3,30,30,14,6.57793,1.9231
Kitchen Rush (Revised Edition),2,20,60,8,7.72526,2.0
Alexander the Great,2,120,120,12,6.20223,2.7308
La Grande Guerre 14-18,2,360,3600,14,7.838999999999999,4.913
Cityscape,2,10,10,8,6.2347,1.6957
Mondrian  The Dice Game,2,30,30,10,6.33509,1.2857
Ploy,2,60,60,10,6.20587,2.3947
Medieval,3,120,120,12,6.19755,2.4074
Advanced Space Crusade,2,45,45,12,6.4866199999999985,2.7
Scoundrel Society,2,30,45,14,6.5563699999999985,1.8
Hearts and Minds  Vietnam 1965-1975 (third edition),1,45,360,15,7.93883,3.375
Arena Rex,2,30,30,12,8.264710000000001,2.5
24\/7  The Game,2,20,20,8,6.49175,1.8889
Qwantum,2,15,15,8,6.34449,1.0
Hey Waiter!,2,30,30,13,6.27716,1.3929
Minos,2,120,120,16,6.37399,2.6552
Save Doctor Lucky,3,30,30,10,5.85733,1.4946
Spexxx,2,30,60,8,6.40121,1.5333
Balkan Front,2,120,120,12,6.93428,3.8571
The Shared Dream,2,90,120,13,7.30641,3.0
Fiasco,2,15,15,12,7.05674,1.25
For-Ex,2,90,90,0,6.6536300000000015,3.8889
On the Origin of Species,2,45,80,9,7.2811,1.8571
The New Dungeon!,1,45,45,8,6.15172,1.68
Blockbuster,4,30,60,12,7.0645,1.0
Stone Garden,2,75,75,10,6.7363100000000005,2.7857
Rory's Story Cubes  Intergalactic,1,20,20,6,6.85226,1.0
Shadowrun  The Trading Card Game,2,60,60,12,6.40055,2.7188
Architectura,2,30,45,8,6.21419,1.8571
Strada Romana,2,45,45,8,6.17618,2.0811
Dungeon of Fortune,2,30,30,8,6.1211,1.5
Armorica,2,30,30,12,6.476380000000002,2.2
Flash Duel  Revised Second Edition,1,5,5,0,7.1837399999999985,1.7143
Iron and Oak,2,90,90,12,6.762060000000001,2.5357
Jungle Speed Safari,2,15,15,5,6.25179,1.0625
Star Cartel,3,30,60,10,6.5136699999999985,2.0
King's Pouch,2,60,60,10,6.700539999999998,2.7857
We Didn't Playtest This  Legacies,2,1,10,12,6.12005,1.0
Secret Code 13+4,2,15,15,8,6.64024,1.2857
'Wacht am Rhein'  The Battle of the Bulge,2,360,360,14,7.41818,3.7273
Cat Box,2,15,30,6,6.20159,1.6667
Battlecars,2,90,90,12,6.1985800000000015,1.9792
Belote,2,20,20,8,6.746110000000002,2.5714
Gumshoe,1,120,120,12,7.3436,2.8889
City Square Off,2,15,15,8,6.556089999999998,1.1111
\u5929\u4e0b\u9cf4\u52d5 Rumble Nation,2,20,40,10,7.2621600000000015,1.75
Myths at War (Nordic,2,20,20,10,7.523919999999999,2.381
Lock 'n Load Tactical  Heroes of the Pacific,2,120,240,12,8.175,3.8333
Musketiere,2,20,40,8,6.07484,1.1071
Napoleon at Leipzig (fifth edition),1,180,840,0,7.90227,3.5
Foodfighters,2,20,30,8,6.6608,1.2
Pirates on the High Seas,2,30,30,6,6.75255,1.2143
Golden Horn  Von Venedig nach Konstantinopel,2,45,45,8,6.39481,1.7692
Muscat,3,45,45,10,6.43295,2.3684
Math Fluxx,2,5,30,8,6.33845,1.5
Planetoid,1,25,40,6,7.5373199999999985,2.0
Axis & Allies & Zombies,2,60,180,12,6.98703,3.0
Ausgerechnet Buxtehude,2,20,20,10,6.4457900000000015,1.381
Mage Tower  A Tower Defense Card Game,1,30,30,13,6.647660000000001,2.8333
Twelve Heroes,2,20,30,12,6.91288,2.8333
San Francisco,3,90,90,12,6.19797,2.5714
K\u00f6nig Salomons Schatzkammer,2,45,45,8,6.614489999999999,2.1111
Wayfinders,2,25,45,10,6.80653,2.0
RONE,2,35,45,14,7.77943,2.8571
The World Cup Card Game 2010,2,75,75,10,6.34269,1.6
Manitou,2,45,45,12,6.13594,1.9655
Pecunia non olet  Geld stinkt nicht,2,20,40,8,6.1675900000000015,1.3043
Sator Arepo Tenet Opera Rotas  Malleus Maleficarum,2,45,90,14,7.17259,2.6
Super Mario  Level Up! Board Game,3,10,30,8,6.37317,1.1667
Aerodrome,2,30,60,12,7.6371,2.2308
Yamslam,2,15,15,8,6.18601,1.2083
Arkham Noir  Case #2 \u2013 Called Forth By Thunder,1,30,30,14,7.21558,3.0
Krosmaster  Arena \u2013 Duel Pack 1,2,10,10,10,7.19382,2.0
Vanguard of War,1,30,60,13,7.4896,2.25
Aftermath,1,60,120,14,8.13523,2.7
The Football Game,2,60,90,8,7.124630000000002,2.1667
Tyler Sigman's Crows,2,15,45,10,7.47248,2.0
North American Rails,2,120,120,12,6.7389199999999985,2.5882
Treasure Lair,2,30,30,14,6.8219,1.6667
Bad Medicine,3,30,30,16,6.80231,1.4615
Saga,2,30,30,12,5.79017,2.0133
Wacht Am Rhein,1,240,240,12,7.428210000000001,4.6071
Muse  Awakenings,2,30,30,10,7.062689999999999,1.0
The Walking Dead Board Game  The Best Defense,1,45,60,15,6.09617,2.0
Mighty Empires,2,300,300,14,6.13721,2.5909
Sparkle*Kitty,3,10,20,6,6.4287800000000015,1.0
El Paso,2,45,45,10,6.24943,1.9394
They Come Unseen,2,80,180,0,6.77877,2.75
Fantasy Pub,2,60,60,12,6.14013,1.6154
Robot Master,1,15,15,8,6.35614,1.32
Chess 960,2,180,180,10,7.58167,3.9286
October War  Tactical Combat in the Yom Kippur Conflict,2,120,120,12,6.88236,2.875
Strat-O-Matic Pro Basketball,2,90,90,11,7.021160000000001,2.6667
Cardline  Dinosaurs,2,15,15,7,6.09604,1.1667
The Last Success  Napoleon's March to Vienna,2,180,720,0,7.672169999999999,3.2667
Ferox,2,60,90,18,7.7078,2.1429
Hollywood Poker,4,60,60,10,6.5754600000000005,1.4118
Konja,2,30,60,9,6.791989999999998,2.0
The Pirate Republic,1,60,90,14,7.473489999999999,3.0
Katzenjammer Blues,2,30,30,10,5.89656,1.4394
Gothic Invasion,2,90,90,12,7.23659,2.5
Word on the Street Junior,2,30,30,8,6.869789999999999,1.1667
Tarantula Tango,2,20,20,7,6.0494,1.1935
Let Them Eat Shrimp!,2,20,20,8,6.66989,1.4444
Pocket Landship  Free Trial Version,1,5,20,10,7.1505800000000015,1.4
Saboteur  The Lost Mines,3,30,60,10,6.38474,2.2857
Pearls,2,15,15,6,6.49375,1.0
Mega Man Pixel Tactics  Bass Orange Edition,2,20,45,10,7.40959,2.0
Ramen Fury,2,30,30,8,6.42461,1.2
\u6253\u84bc\u8805,2,15,15,6,5.99371,1.0465
Dragon Run,2,15,15,8,6.1733,1.4091
Blocky Mountains,1,30,30,8,7.02283,1.75
Robin Wood,2,15,25,10,6.957560000000001,1.2
Hacker  Deluxe Edition,2,60,60,10,6.31462,2.7297
Privacy,5,45,45,16,6.40988,1.1176
Card City,1,30,30,12,6.06642,2.0526
Le Passe-Trappe Grande,2,5,5,10,6.9623800000000005,1.0
Crossroads of Heroes,2,45,90,14,7.3955600000000015,2.2857
Star Fleet Battle Force,1,90,90,8,6.49607,2.069
Walk the Plank  Deluxe Edition,3,20,20,8,6.56168,1.0
Yggdrasil Chronicles,1,90,90,14,7.313919999999999,3.1667
The Sword and the Flame,0,60,60,12,7.44417,2.2857
Cat Tower,2,15,20,6,5.88435,1.04
Hockey Blast Pro Hockey Game,1,45,45,12,7.9874399999999985,2.0
Quick Draw McGraw Kasino,2,30,30,10,6.2961800000000006,1.4
Thunder in the Ozarks  Battle for Pea Ridge,2,0,0,0,8.0122,3.3333
Prussia's Defiant Stand,2,180,180,12,6.85036,2.6
On the Edge,2,45,45,12,6.19733,2.3913
Dwarven Miner,2,30,30,12,6.51662,1.9167
Victus  Barcelona 1714,1,180,180,12,7.57874,3.5333
Panzer Battles  11th Panzer on the Chir River,2,120,600,12,7.587999999999999,3.0
Daimyo,2,60,60,12,6.4243,2.5185
Ogre Miniatures,2,120,120,10,7.6916699999999985,2.1429
Wonky,2,15,30,8,6.41011,1.0
Glory  A Game of Knights,1,45,120,14,8.27865,3.0909
Panzer Grenadier  1940 \u2013 The Fall of France,2,120,120,0,7.634519999999998,2.6667
Beta Colony,2,40,80,14,6.978089999999999,2.8333
Druids,3,45,45,10,6.43052,1.6667
Bar-Lev  The Yom-Kippur War of 1973,2,360,360,16,7.363060000000001,3.0455
Kilt Castle,2,45,45,10,6.817189999999999,2.0
Nine Tiles,2,15,15,6,6.48283,1.0
Null & Nichtig,3,30,30,8,6.02056,1.6279
Narvik,1,180,180,12,6.96818,3.48
Prussia's Glory II  Four Battles of the Seven Years War,1,90,90,12,7.023739999999999,2.8
Empire of the Rising Sun,2,240,240,12,6.72065,4.3143
Word Snatch,2,45,45,8,6.33462,1.7353
The Foreign King,2,60,60,12,6.44602,2.1818
Stinker,3,15,15,8,6.94515,1.3333
Tang Garden,1,40,60,14,7.9843199999999985,2.875
Immortals,3,120,150,14,6.46545,3.4
Cranium Scribblish,4,20,20,8,6.28111,1.0
Stratego  Lord of the Rings Trilogy Edition,2,45,45,8,6.17025,2.0769
011,3,90,90,12,6.14836,2.7778
KOI,1,40,60,10,6.50285,2.1429
Who Should We Eat?,4,30,30,14,6.5459,1.6
Far East War 1592,2,90,120,12,7.098139999999999,2.6667
Steam Noir  Revolution,3,60,60,12,6.61989,2.5
Isis & Osiris,2,10,20,7,5.8272900000000005,1.358
DrunkQuest,3,20,20,21,6.28693,1.9412
Thingamajig,3,30,30,14,6.3725,1.5294
Master of Economy,2,120,120,14,6.72531,4.0667
The Lost Cause  The American Civil War,1,60,90,14,7.26509,2.5769
Starbase Jeff,2,30,60,10,6.12779,1.5294
Pompeji,2,45,45,12,6.22925,1.5385
Push a Monster,2,15,15,5,6.13071,1.1333
The X-Files,2,60,90,13,6.38042,2.1
Judge Dredd  The Cursed Earth,1,30,50,14,6.622039999999998,1.875
A Week In Hell  The Battle of Hue,1,240,240,12,7.05645,2.4062
The Seven Days of 1809  Napoleon and the Archduke Charles,2,480,480,14,7.6005,3.125
Kalimambo,3,30,30,8,6.1165699999999985,1.0
Trainmaker,1,15,15,8,6.35031,1.3077
Iunu,2,30,30,10,6.71968,2.0
Aladdin's Dragons,2,30,30,10,6.3754300000000015,1.9545
Anachronism,2,5,5,12,6.00059,1.7108
Rage,2,45,45,12,6.0568800000000005,2.3659
DC Deck-Building Game  Rebirth,1,45,90,15,7.48615,3.0
Warzone (first edition),2,180,180,12,6.821560000000002,3.3529
Campanile,2,30,30,10,6.15848,1.6667
Cranium Pop 5,4,45,45,18,6.26507,1.16
Gunrunners,2,30,30,10,6.40698,1.1818
1822CA,3,360,540,12,8.4375,4.2857
Master Builder,2,60,60,10,6.10789,2.0857
Cannon,2,20,20,12,6.983410000000001,2.8125
Hornet Leader II,1,60,60,12,7.3162,2.0556
Achaia,2,60,90,14,6.55087,3.0
Deutschland  Finden Sie Minden,2,45,45,6,6.35544,1.6296
Lords of War  Templars versus Undead,2,30,30,12,6.734539999999999,2.3
Word Blur,3,60,60,10,6.84094,1.25
Munchkin The Nightmare Before Christmas,3,60,120,10,6.5054300000000005,1.75
Hold the Line   Frederick's War,1,60,60,10,7.7202199999999985,1.8667
Dark Minions,3,60,60,10,6.10907,2.1538
Stroop,2,10,15,8,6.43353,2.0
DreadBall Xtreme,2,45,45,0,7.32344,3.0
The Hills Rise Wild!,2,180,180,12,6.3832,2.6154
Gold Fever,2,10,15,7,6.1948,1.0
Lion of Ethiopia,2,120,120,12,7.2495699999999985,2.4
Gekido  Bot Battles,2,30,30,14,6.55768,2.0
Dr. Shark,2,45,45,8,6.19088,1.6
Na Grunwald  rycerze kr\u00f3la Jagie\u0142\u0142y,2,60,60,10,6.62288,2.2667
Space Mission,2,45,45,10,6.0499800000000015,1.8286
Rockband Manager,3,45,45,14,6.00073,1.8421
Red Storm over the Reich,2,480,480,12,7.23013,3.5217
Monster Trap,2,20,20,6,6.20965,1.1667
Wettstreit der Baumeister,3,45,45,10,6.10168,2.0
Deadwood Studios USA,2,60,60,12,5.90304,1.4884
Cranium Turbo Edition,4,60,60,12,6.09906,1.7692
Bomarzo,2,45,60,12,6.56855,2.9412
Dungeon Guilds,3,20,30,12,6.54478,1.4444
Ankh'or,2,30,30,8,7.12375,1.75
Consentacle,2,10,35,18,6.78428,1.3333
South African Railroads,3,40,40,0,7.619,3.1429
Yomi  Round 2,1,20,20,0,7.843839999999998,3.0
Secret Unknown Stuff  Escape from Dulce,1,40,180,14,8.58918,2.875
The Halls of Montezuma,2,240,240,11,6.48456,3.175
Saint Seiya  Deckbuilding,2,40,60,14,7.18571,2.25
Sicily  The Race for Messina,2,120,1200,12,6.54731,3.1
Gardens of Babylon,1,60,60,10,7.21518,2.0909
Shadowscape,1,45,60,13,6.36136,2.4
Arnhem  Defiant Stand,2,90,90,12,7.62828,3.8421
Broadside,2,45,45,10,6.14907,1.7447
Tavern Masters,1,20,30,13,6.86298,2.0
Chartae,2,5,15,8,6.8214,2.0
Blood Red Skies,2,30,60,12,7.62,2.5
World War II  Pacific Theater of Operations,2,360,360,12,6.915660000000001,4.0714
Train Heist,2,45,60,12,6.61199,2.1818
Risk  \u00c9dition Napol\u00e9on,2,120,120,10,6.60377,2.36
Trains and Stations,3,45,45,14,5.83465,1.8214
18NY,2,300,300,12,7.75028,3.6667
Loaded Questions,3,45,45,13,5.91138,1.2951
Picket Duty  Kamikaze Attacks against U.S. Destroyers \u2013 Okinawa,1,60,480,0,7.16795,2.75
Patronize,3,20,20,14,6.08257,2.15
Heroica  Waldurk,2,15,15,8,6.03075,1.3077
Game of Thrones  Oathbreaker,5,30,45,14,7.18871,2.3333
Tigers in the Mist,2,300,300,12,6.8281600000000005,2.7241
Whoosh  Bounty Hunters,2,10,10,8,6.32413,1.1818
Lyssan,2,180,180,12,6.87104,3.6818
Onslaught  D-Day to the Rhine,2,240,240,12,6.5304,2.5405
Heroes Welcome,2,60,90,10,7.458469999999998,3.0
Soldier Kings  The Seven Years War Worldwide,2,240,240,14,6.38376,2.45
War of the Buttons,2,45,70,10,6.6515,2.3333
Dino Dude Ranch,2,20,40,8,7.33731,1.5
Paco \u015cako,2,15,60,4,7.81538,2.6667
Go-Moku,2,5,5,8,6.00296,1.9038
Pirates of Nassau,3,90,90,10,7.00393,2.8667
World of Tanks  Rush,2,30,30,10,5.93121,2.0625
Lost Woods,1,30,60,12,6.725860000000001,1.5333
RUMBLESLAM,2,30,90,12,8.097669999999999,2.3333
Fantasy Frontier,2,60,60,13,6.40231,2.5
Waterloo  Napoleon's Last Battle,2,120,120,12,6.08677,2.7879
Waters of Nereus,2,45,60,14,7.716,2.25
NHL Ice Breaker  The Card Hockey Board Game,1,25,25,8,6.28535,1.5
Zitternix,2,10,10,6,6.05341,1.0286
Magnifico  DaVinci's Art of War,3,90,90,12,6.35446,2.6296
Aspern-Essling 1809,0,240,240,0,7.853960000000002,2.7826
Down in Flames  WWII-Guns Blazing,2,30,30,12,6.95021,2.1538
Kill The Unicorns,3,25,45,10,7.58097,2.0
Greedy Kingdoms,2,20,20,10,7.11442,2.0
Master Fox,2,20,20,7,6.21237,1.0769
Jarnac!,2,40,40,7,6.62812,2.2143
Mercurius,3,45,60,10,6.23211,2.4194
El Club de los Martes,3,60,60,14,7.14814,2.0435
La Fallera Calavera  el joc de cartes valenci\u00e0,2,30,30,10,7.22854,1.9091
Tara  Ireland's Royal Board Game,2,20,30,8,6.28624,2.16
Constellations,2,30,60,8,7.01135,1.625
Victory in Europe,2,180,180,12,6.97416,3.2727
Karnag,2,120,120,14,6.62943,3.4118
Kremlin (Third Edition),2,45,90,12,7.0328,2.75
Tortuga,2,10,10,8,6.21084,1.7727
West of Africa,2,60,90,10,6.27603,2.6667
Prussia's Glory  The Battles of Frederick the Great,1,180,180,12,6.6821,2.8462
Tier auf Tier  Das Duell,2,10,10,5,6.37041,1.0
Truco,2,15,15,10,7.11672,1.9286
Dweebies,2,20,20,8,5.94014,1.0732
Shinobi Clans,3,60,60,13,6.3880300000000005,2.0
New England Railways,2,90,120,13,6.719410000000001,2.625
PanzerArmee Afrika,2,180,180,12,6.24356,2.6364
Bethel Woods,2,40,40,12,6.81835,2.25
Apples to Apples Kids,4,30,30,7,6.08328,1.0789
Exposed,2,30,45,12,6.423769999999998,1.6667
Claim It!,2,40,40,8,6.1726800000000015,1.4706
International Checkers,2,40,40,5,6.519419999999998,2.3333
WWE Raw Deal,2,15,15,10,6.78429,2.6087
Dice Drivin',2,10,30,6,6.51956,1.3125
Perfect Alibi,3,30,45,10,6.4176400000000005,2.1429
Batik Kid,2,10,10,6,5.96002,1.1154
Roller Coaster Tycoon,2,45,45,8,6.0716800000000015,1.5455
The 7th Continent  Classic Edition,1,5,10000,14,8.67484,3.3333
Israeli Air Force Leader,1,60,60,12,7.967860000000001,2.2
Omert\u00e0,2,90,90,14,7.31975,2.5
Battue  Storm of the Horse Lords,2,60,60,12,5.9457900000000015,2.0506
My First Castle Panic,1,20,20,4,6.790019999999998,1.0
StarFall,2,30,30,13,6.32153,1.6667
Warriors & Traders,2,120,120,12,6.2207,2.9737
Screaming Eagles in Holland,1,240,240,15,7.47371,3.8333
Cuisine a la Card,2,15,45,13,6.98925,2.0
Quinamid,2,10,10,8,6.853210000000002,2.2
Normandy  The Beginning of the End,2,60,120,12,8.295689999999999,3.6667
